;sentiment;text
8656;0;@JetBlue Celebrates 15-Year Anniversary With New Livery - @CNNMoney http://t.co/p7skxZVe1A
11053;1;@USAirways thank you finally got our bag. Customer services reps were wonderful.
6407;0;"@SouthwestAir can u better define the ""plus one smaller type"" item on carry on requirements?.. small backpacks?"
3021;1;@united Hi, flight 1051. If I try and book a new one way,  flight departure shows up as 3:55pm which seems accurate.
3967;0;@united Hello. Just wondering how long it might take for Turkish Airlines flights to show up in my United miles. Thanks.
9772;1;@USAirways great, thank you!
3441;-1;@united can you help from there? UA4935 can't take off without missing galley cart that no one can find. Pax all seated for last hour.
9399;1;"@USAirways - thanks, I hope so. Maybe you can put in a good word for me? ;-)"
359;1;@VirginAmerica love you guys, but pls get some direct routes LAS to AUS!
2837;0;@united exactly
9848;-1;@USAirways nothing like back to back delayed flights let hope this one isn't 12 hours like the last time.
5153;-1;"@SouthwestAir @PoteetTJ had to fly @Delta MCO-&gt;CMH for $400 b/c we cldnt reach SWA to reroute SWA 3104 Cancelled Flightlation. Voucher wld help."
9381;-1;@USAirways 1-2! Rock hit the plane! In a delay now! Never an easy day with US Airways! Ya never fail to let me down!
6040;1;@SouthwestAir iPhone app now has passbook support! Whoot! It's the little things in life... 😜
11119;0;@USAirways flight 1783 CLT to BOS
11470;-1;@USAirways this is crazy. Haven't spoken to a human yet. There has to be a better way. http://t.co/mEOAlCIPdD
817;-1;@united Yes. Did file a claim as soon as the carousel stopped without my bag on it. Got an email that its found but not sched for delivery
11014;-1;@USAirways yes .not sure how you guys don't know gate is occupied and keep us waiting
867;1;@united thank you.
8870;1;@JetBlue Haha you're doing everything right! Don't change a thing! Slash this Twitter engagement just makes you even cooler! #bestairline
7097;0;“@JetBlue: Our fleet's on fleek. http://t.co/ar0VayLmFc” Really Jet Blue? Lmao
7370;0;@JetBlue Help - I left my Nikon camera under the seat in front of me. What do I do?
14553;-1;@AmericanAir @tennetexan Too bad there's only, like, 3 people on that team, then. Because this is next level unreal.
12766;0;@AmericanAir are flights from Pensacola fl delayed flight 3670
10998;-1;"@USAirways I doubt that, its 11:21p &amp; we r still being held captive on the ground at DCA! A little communication from up front would b nice."
1229;0;@united Hi! what is the phone number for reservations in Venezuela? Thanks
10025;0;@USAirways Look into better service.
109;1;@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare
9549;-1;@USAirways here's to sitting on hold for 4 hrs flight Cancelled Flighted and they disconnect twice. #fend4urself #stranded #diverted
7129;0;"@JetBlue @courteroy LOLZ. ""On Fleek"""
14282;-1;@AmericanAir Stuck on a plane at JFK: food was not on the plane now we need to wait crew to push back the plane. Good job, AA!
9877;-1;@USAirways 799 from AMS to PHL today- 3 of 4 flight attendants were downright rude and hostile and made the 8+ hour flight even worse.
8721;-1;@JetBlue She claimed that she did, but I was not happy with the way I was treated.
7660;-1;@JetBlue a voucher.. I can't believe I took this risk. Not only was the plane terribly filthy and I had 15 screaming babies in my face..
6009;1;@SouthwestAir @FortuneMagazine Love u Southwest. You've always been helpful. When I traveled a lot w/my son, infant/toddler, U were great!
3037;0;@united yes. Houston Int'l, Bush.
298;-1;@VirginAmerica I'm trying to check into my 10:50AM CT flight tmm on the desktop website and it's not working (some sort of caching bug) SOS
11919;1;@AmericanAir I don't think you should help him at all based on his behavior. The voucher and cot seem like enough lol 😃
9520;-1;@USAirways website isnt working and I cant talk to any1 on the phone to check flight status out of dfw. Roads are awful and cant get there
12876;-1;@AmericanAir but seriously if my cats dead I'm going to be pissed/very thankful because it is evil and wants my soul
10904;0;@USAirways Done
11827;-1;@USAirways I can't believe that you would refer me to a number no one seems to be getting through. Really? I need help ASAP!
3548;0;@united hey I left my favorite blanket on the plane bring it back home to me:-(
12615;1;@americanair Not surprised that you were the Fastest Responding US Brand on Twitter for Q2 + Q3 2014. Also 10th fastest in the world in Q3
8446;1;@JetBlue thanks to O StBernard for taking time to read through page to find info as supervisor felt to insist tho I showed previous comm
4878;1;@SouthwestAir YES please....How do we get that companion pass?
2580;1;@united nice and early back home! http://t.co/geG4nghmIE
8811;0;@jetblue is there no way to switch to earlier flight to JFK even if I checked a bag?
4751;-1;@SouthwestAir bag in possession but no clothes in bag??
11500;-1;@USAirways is useless airways. Day 2 trying to get home on standby as a result of their Cancelled Flightlation. #USAirways
10972;-1;@USAirways been at DCA at 5 pm still here at 3 am due to mechanical issues and lack of snacks on the plane! Absolutely worse experience!
3086;0;@united got it, look forward to hearing from you soon
3772;1;@united all good! Next flight was a little delayed so it all worked 👍
9380;-1;@USAirways I have a flight voucher/confirmation code but there is no where for me to enter it on your checkout page while Flight Booking Problems. Pls help
394;-1;@VirginAmerica I'm pulling my hair out trying to book a flight with u. Your site doesn't work on iPhone or iPad.don't have a computer #help
776;-1;@united Lost bags. Cancelled Flightled flights. Delhi call centers. Poor United staff spread thin and stressed. You name it.
8636;1;@JetBlue its a wonderful thing!
11116;0;@USAirways a $75 change is ok most of the time but if there r open seats on earlier flt and no chkd bag, why not let someone fly standby?
9952;-1;@USAirways 3818 delayed. blue skies all over. #whyisusairALWAYSDELAYED???
7854;1;@JetBlue ok thank you for the quick response JetBlue still the best comp
8802;1;@JetBlue And we are glad to see what is going on and fix! @ProfessorpaUL15: please DM me your confirmation # so we can check.
2551;1;@united stellar customer service. You have earned my business by your attention to detail.
11991;0;@AmericanAir I know. Just a little cold weather humor. :)
3430;1;@united So far so good. Just stepped down in Denver. Next Stop Portland!
5283;0;"@SouthwestAir Can I do the same thing as changing a ticket by Cancelled Flighting my current ticket &amp; buying a replacement online?"
8337;0;@JetBlue Just looking to arrange for a nice flight from SEA to LA-ish and comparing the cost to something more direct from YVR.
625;0;@united So do I need to book two one ways in order for her to fly as an unaccompanied minor?
8243;1;@JetBlue excellent. you guys are the best
11157;0;“@USAirways: Reminder: From 2/28, we’ll be tweeting from @AmericanAir. You should join us: http://t.co/WBMHRl3bvl
10165;-1;@USAirways been on hold 2 hours for a Cancelled Flighted flight. I understand the delay. I don't understand you auto-reFlight Booking Problems me on TUESDAY. HELP!
8596;0;@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/5t4FpCGREJ
2370;0;@united I haven't booked yet, I'm asking before I book
556;0;@united thanks again for your concern. I will contact customer care upon our return from Australia.
11896;-1;@AmericanAir I sure hope you all can fix @USAirways. Good luck, their service sucks. #nexttimeiwillflysouthwest
13550;-1;@AmericanAir trying to change my flight and you just hang up on ppl bc call volume is high. That's a joke, right?
14278;1;@AmericanAir Thank you. Good suggestion. I checked and we were not rebooked. We'll keep checking and looking for other flights
7243;1;@JetBlue Thanks JB. Actually, As a birder I love them too. They just need to be outside. It shouldn't be too hard to trap and move them.
6709;-1;"@SouthwestAir too bad I'm getting this memo: ""Your reservation contains modifications that prevent you from changing it online."" #FUSTURATED"
5669;0;@SouthwestAir Hi there. We’re flying SWA today. Our son has a peanut allergy. Any way to request the crew not serve peanuts on flight? Thx
6;1;@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)
12784;1;@AmericanAir everything for sorted out. Thanks for the help. Excited to get home tonight!
535;0;@united I lost a voucher that I was given in Miami aeroport on jan 26. I did not use it.
12824;0;@AmericanAir Is there a way I can get a record of all the flights I've taken with you?
5544;1;"@SouthwestAir got it taken care of! thank you &lt;3"
1526;-1;@united so glad I've been waiting for 1 hour and 15 minutes and Ive been transferred 3 times without resolving anything. Worst service ever.
6117;1;"@SouthwestAir thank u for not leaving me 
@me nice job running thru the airport to catch your connecting flight"
1060;0;Flight Booking Problems for a travel writers trip I am hosting and need to be happy when I land! Do you have the cute PJs AA does? @united
5649;0;@SouthwestAir so the fares I see for flights in fall are the ABSOULUTELY LOWEST they will be?
11373;1;@USAirways @AmericanAir First Class all the way!!💺✈️ Headed to @portlandjetport http://t.co/kDMq0jps02
12808;1;@AmericanAir Was not on board you today just watched report unfold on Twitter but still am very proud!
9248;-1;@USAirways sat on the ramp for 45 min and missed my connection. No one seems to concerned at usairways.
5122;1;@SouthwestAir Kudos for adding #Passbook to your app! I LOVE IT!
6296;-1;@SouthwestAir yea but I was hoping to avoid the ticket difference amount as a birthday courtesy? #flysouthwest #lovesouthwest #mybday
10405;1;"@USAirways Eyyyy! Cancelled Flightlations, Flight Booking Problemss, reFlight Booking Problemss, but y'all got me on the same flight out tonight (not tomorrow) &amp; the FC upgrade. Thx!"
2126;-1;@united flight ua90 is taking off now after 1750 was delayed over 4 hrs 30 passengers to miss their flight to tel aviv
4343;0;@SouthwestAir I have been on hold for over 28 minutes  please help http://t.co/Fx9BIJlxAt
7447;1;@JetBlue love it as always!
1116;-1;@united @JMS2802 : sure show a video of your outsourced favorite TIMCO, who has a knack for doing substandard maintenance work on aircraft.
7177;1;@JetBlue The chairs could use some TLC. And more power outlets in the area would be a bonus. Headed to @UniversalORL !
10015;1;@USAirways Painless and effortless flight from Indy to PHL... Our flight attendant, Tory, was fantastic. Give that lady a raise ASAP!
3622;1;@united Very good flight, thank you!
8220;0;@JetBlue Hi. I'm trying to find a flight to the Middle East.
6257;1;@SouthwestAir - Apology accepted! #customerserviceWIN #itravelalot http://t.co/z5znfwkKWP
13928;0;@AmericanAir Your logo looks like 3D glasses.
11950;0;"@AmericanAir Here is the photo ;) http://t.co/VMqUURZUpW"
8907;1;@JetBlue @JayVig @roxydigital awww ^_^ R to the T, realtime appreciation from JetBlue #rockingthetweets #JVMChat
4185;0;@united take a lesson from @VirginAmerica , they know how to treat customers!
3297;1;@united ok thanks. I sent you a DM too. You can disregard that.
10417;0;@USAirways I'm on flight 623 from DIA to Ontario tomorrow morning. no access to the airport via taxi or shuttle. What should I do?
6300;0;@SouthwestAir when are you opening the flights beyond august 7th???
12337;1;@AmericanAir I wish I could remember all of their names!
4479;-1;"@SouthwestAir I ""heart"" Southwest but those commercials aimed to satisfy a nano-smattering of travelers to few destinations."
4639;1;@SouthwestAir best airline 👌
5594;0;@SouthwestAir I cannot DM you as you do not follow me.
7648;1;@JetBlue They just came out. Thanks for the follow-up. That's why you're the best!
12922;1;@AmericanAir yes, it says it should be deliver within 6 hours after pick up line.
12496;-1;@AmericanAir or at the very least an explanation on why no one told me my flight was Cancelled Flightled!
5951;1;@SouthwestAir is the best airline out there no one is better than them #OneLove #Southwest #bestairline
9234;-1;@USAirways and @FlyKnoxville - bad weather should not be an excuse for not following established luggage procedures. #NoClothesNoInfo
12331;-1;@AmericanAir there is no local agent! There is no person to answer our questions and their phone service is terrible.
8444;1;Hey @JetBlue, that's a sexy tattoo you got there on your left engine. #Jetbae http://t.co/Ox4w6KtsGI
4872;1;@SouthwestAir constantly providing wonderful views and service! #SouthwestLuv http://t.co/9UNxqOTzIK
5706;0;@SouthwestAir  what is the status on flight#122 STL-AUS?
381;1;@VirginAmerica gave a credit for my Late Flight flight yesterday. Great service !!!! That's a Wow moment! Unexpected gesture!
1810;-1;@united Thanks but why did this occur? You guys had 3 hours extra to get my bag on due to your delay. So that's 7 hours you had. #fail!
10243;-1;@Sb5551 Sounds like  @USAirways should have planned better since this weather was no surprise. Completely unacceptable wait times!!!
4508;0;@SouthwestAir Hello SWA, Who is your POC for partnerships with nonprofit organizations in BWI area?
3815;1;@united Thanks for explanation. It seems like an odd incentive structure, tho, because it dramatically diminishes the value of the certs.
8322;-1;@JetBlue I called jet blue to get an explanation, and make sure it would not happen in the future. I was told to write the fraud dept.
12543;0;@AmericanAir we then had to deplane, and change planes.
590;0;@united the os isn't controlled by me but rather @VerizonWireless .  App is new.
647;0;@united yall should probably work on that.
3700;-1;@united I find this text funny, considering we are still sitting here because 2 seats need to be changed out. http://t.co/LoLuWfCi11
5436;-1;@SouthwestAir why did I not receive drink coupons with 65,000 points? But all my friends did?
1306;1;@united Was able to send the DM. All good now.
171;0;@VirginAmerica Lister to my show my on Monday 1230 130
3321;1;@united thanks for making sure they hear the message!
1286;-1;@united I'm aware of the flight details, thanks. Three hours Late Flight a crew that could not give less of a shit
11109;1;@USAirways lol me too
5210;-1;@SouthwestAir the ball has been dropped. My snowboard will not be making it to my destination. #totalfail #letdown
12223;0;@AmericanAir second pic from CDG?
1554;0;"@united left my iPad on MCO-&gt;IAD flight 174. How long to hear back once claim submitted? TY!"
8447;-1;"@JetBlue Gnight checked in at POS &amp; supervisor was unaware of policy. That sucked having to guide him to the internet. He was v unfriendly"
13946;0;@AmericanAir if you could get the gate crew to help us off FLT 5350 that would be great....
11417;-1;@USAirways nope, done. Was supposed to get home at 9pm and didn't get home until midnight. #NeverAgain
908;1;@united thank you. I flew into Newark from Vail/Eagle.
10237;-1;@USAirways once again your company actualy put people in weird situations.Your hostel voucher was fake.Snow is ok but no lies please
8616;1;@JetBlue The Magic eight ball has never steered me wrong  :)
1862;0;@united getting ready to book a flight to San Juan. Was wondering, Does United waive baggage fees for military personnel. Thanks.
5658;0;@SouthwestAir is that @MurraySawChuck
8579;1;@JetBlue incidentally, Sheila at JFK deserves a raise because she's awesome.
11518;-1;@USAirways I don't need to rebook I need to know the policy
13954;-1;@AmericanAir not in any way that I am happy with or find acceptable.   If I could speak to a human maybe that would happen
12185;-1;@AmericanAir change fee = same price of new ticket... Not logical
413;0;@VirginAmerica no A's channel this year?
12591;0;@AmericanAir followed!  Sure hope you can help!
5907;-1;@SouthwestAir Unable to check in my flight. It says my itinerary is ineligible for checkin online. Go to counter. Very inconvenient!!!
7156;-1;@JetBlue no. Please stop.
7293;1;@JetBlue thank you!
1466;-1;@united but again UNITED DOESNT GIVE 2 SHITS ABOUT THEIR CUSTOMERS
6945;1;@JetBlue Well, thankfully they've got a nice food court here...When will an update be posted?
7593;1;@JetBlue got it. thanks the quick reply.
4854;0;@SouthwestAir Flight 3267 (N659SW) arrives at @FlyTPA following flight from @MitchellAirport http://t.co/LJ2YdKoR8q
9582;0;@USAirways will all flights out of DFW be Cancelled Flightled today?
14493;-1;@AmericanAir flight was 2488 out of EWR STOP AT DALLAS THEN TO LA. I need to be in la tonight!
12846;0;@AmericanAir - don't be jealous.  I live in Sydney and my T-shirt and jeans don't suit the office for work. I need suits and a warm jacket.
6171;1;@SouthwestAir - I just had a great experience with your customer service team. Thank you! #LuvSW A-list
3421;0;@united @perfectomobile Definately not an award for employer of the year #united13
12202;1;@AmericanAir Thanks for sharing these photos! Round of applause for your crews! We appreciate all their hard work.
7837;-1;@JetBlue yes, We have de baggage claim, I'm so sad for the baggage and how They treat Us 😞 please we need That baggage
6322;0;@SouthwestAir looking for cheap flight to vegas
12378;-1;@AmericanAir  thanks for making the worst fly experience ever. Will never book again with your airline. Train your flight attendants better.
4666;1;@SouthwestAir  Your Terry is our hero.  Got my husband back thru security to retrieve his cellphone in Austin. Terry (#85832) You Rock!
5784;1;@SouthwestAir appreciate the reply, hopefully those LAX agents get the memo. Cheers!
9247;0;@USAirways I sent email to customer.relations@aa.com. Will this work?
12134;1;"@AmericanAir ""Airport snow removal method #22...""
Keep up the good work folks, this is where Cessna's become 747's! http://t.co/oUmC1LrXDN"
11066;-1;@USAirways @AmericanAir you know...hockey sticks are expensive. Your baggage handlers shouldn't just be throwing them on the cart.
13238;0;@AmericanAir dmed the name
24;-1;@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet
5078;-1;@SouthwestAir what happend? Why did flight #668 get Cancelled Flighted for 2/22..I was on hold for over an hour and no help
13479;-1;@AmericanAir Stuck in Miami, and one of the worst customer experiences I have ever had. Will be sure to let everyone know about my time w/AA
5264;-1;@SouthwestAir been on hold for 30 min trying to rebook my flight you Cancelled Flightled. Help?!
4497;-1;@SouthwestAir customer service you shouldn't use those words wasted my time and took my money #BadBussiness #Theft http://t.co/63zaQ2lt8f
4924;1;@SouthwestAir Thanks.
6680;1;.@SouthwestAir you've got a mess here at DTW but your staff is doing great.
3261;-1;@united And there is no direct phone number for status match desk? I really regret Flight Booking Problems with @united now.
8187;0;@JetBlue sorry for my misunderstanding of the term, but what does that exactly mean?
10178;-1;@USAirways how does it feel to have almost everyone hate you?
1035;0;Thanks @united. @imran_r44 had a question about the wait time for baggage on UA6366
1071;1;@united look at this beauty 😉 dc 10 united airlines 😉 http://t.co/MvYoizRPdE
280;-1;"@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help"
8813;-1;@JetBlue insane the craziness I've seen with Jet Blue today at Newark Delayed 3 hours and now we are waiting for a Pilot!! #jetblue
13832;0;@AmericanAir any luck?
424;0;@VirginAmerica adds Austin-Dallas Love Field route. http://t.co/XWJoL55FLH http://t.co/Y8AOrMfkaC
11498;1;@USAirways YOU ARE AMAZING!!! FOLLOW ME BACK, PLEASE!!!🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏
12101;-1;@AmericanAir I need a flight out tonight. Isn't there anything else?
12088;0;@AmericanAir Trying desperately to get my boyfriend booked on the same US Airways flight as myself for the same price. Can you help?
11599;-1;@USAirways I'm sick of living in an airport!! #getittogether
8018;1;@JetBlue I will. Thank you!
6526;0;@SouthwestAir When are you going to be flying in and out of Nashville? The Deicer is in. Are you short on planes and is it tomorrow morning?
12427;0;@AmericanAir the motor that usually starts the engine is broke and @CVGairport ground crew failed to do it on time, per pilot #maintenance
3293;1;"@united I was well taken care of, thanks. I've already been sent a survey request &amp; I'll share my positive experience (despite delay)"
690;1;@united kudos for not Cancelled Flightling flights from DFW this morning.   United usually first to panic...
8836;0;@JetBlue the USA help line.  i accidentally booked a flight on a thursday instead of a wednesday and want to switch
12678;-1;@AmericanAir This is getting a bit ridiculous when and you have made me miss 2 full days off work and had to pay for cabs back and forth
7430;-1;@JetBlue You also promised to change my wife's name on the account and it is also not done.  WTF?
9533;0;@USAirways I understand that, and when I'm attempting to change the information so they are identical, it tells me to call a #
13442;1;@AmericanAir thank you!
5362;1;@SouthwestAir  @TheEllenShow @Imaginedragons  @kdepetro313 .what a great first night. #DestinationDragons http://t.co/N3LrFo4UaY
6445;0;@SouthwestAir @Imaginedragons when are we gonna know I have a math test tomoro and I can't concentrate😭😭 #DestinationDragons
7938;-1;@JetBlue what's up with the broken tv in seat 6F on flight 1818 today? Planned to catch the @cavs game!!! Nooooo
4456;0;@SouthwestAir is there a resource to check delays/Cancelled Flightlations out of Love Field? Flying out tomorrow am and stressed about weather! ❄️
6042;0;@SouthwestAir If you read my tweet it is a gap in process for folks that take multiple flights in one day.
6950;0;@JetBlue CEO's challenge: appease passengers, Wall Street - The Columbian http://t.co/pG96ys9aSW
12219;0;“@AmericanAir: Bet these birds wish they'd flown south for the #winter... http://t.co/tY9C0Gae2o” Lol
1102;-1;@united is there a United gold number? I've been on hold 24 minutes and think I may be lost in nowhereland. Have a gold reservation. Help.
7151;0;“@JetBlue: Our fleet's on fleek. http://t.co/PULp4i0w96” smh
2889;0;Can I put sun in my carry on? RT “@united: @ant_kneee Right now 0 would be a heat wave, so enjoy the warmth! Can you bring some home? ^JJ”
11845;1;@USAirways thanks
5981;1;@SouthwestAir @FortuneMagazine Love SW forever😃💕😍⤴⤴
2382;0;@united I'm flying UA but *G with A3
6295;-1;@SouthwestAir No I have not.
10589;0;@usairways Does anyone know the hold times for USAirways reservations?
5582;0;@SouthwestAir 8 mins!!! http://t.co/bbZiJWFDL3
12493;-1;@AmericanAir thanks for the canned reply.
62;0;@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌
3758;1;@united Thank you Margo at Houston's Bush Intercontinental for getting me home earlier.
8541;0;@JetBlue to allow payment by #Apple Pay - Patriarc http://t.co/bdUaUZFhW2
5023;1;@SouthwestAir @AARP #tfw1 Appreciate the tweet back - It was unexpected.
11061;1;"@USAirways flight 437 PHX&gt;ORD.  Lead FA Bill is the most professional FA I have seen in 9 years of flying USAir. I have no AB cards. :-("
3824;1;@united it's amazing really.
3393;1;@United  great way to start my vacation with an on time departure! Looking forward to my global first class suite!
7228;-1;@JetBlue what is the deal with flt 460 today? Departure keeps changing. When is it going why is it so Late Flight?
8615;0;@JetBlue's CEO #pilots among ardent fans, Wall Street - Poughkeepsie Journal http://t.co/FRhuXiB8II
12968;0;@AmericanAir boarding in 2mins YAY!!!!
7572;1;@JetBlue if I had my tux, it'd be a date! #UMosaicMeCrazy http://t.co/hap4gboSTU
1823;1;@united thanks. Just got on a couple of minutes ago. Great service on flight 479 btw. Please pass it to the team on that flight.
14313;-1;@AmericanAir @SeguineJ AA - this is a joke, right? That line isn't even accepting calls right now - they just hang up.
1832;0;@united Did you get your 757 Model?
6938;1;@JetBlue Gotcha... thanks for the update. I'm ready to go whenever you are :) Enjoy your evening.
7305;1;@JetBlue Love you guys😍😍😍 http://t.co/3X9NRUOvtS
6500;0;@SouthwestAir iiiii need help with my flight schedule!!! haha
5781;-1;@SouthwestAir I have never been mor e disappointed in a company, charging $8 to use your wifi which only works for about 8 apps parhetic
5059;1;@SouthwestAir great example of customer service this morning at MSY headed to ATL. Alison and Bobbi were fantastic! Gate B8. Thank you.
4887;1;@SouthwestAir #RedCarpet Southwest Companion Pass would be great!
10703;0;@USAirways that's who I spoke to already. We've already booked another flight w/someone else. Thanks for your concern. Just wanted to
2447;-1;Meanwhile, they fucked my flight. @united: The festivities are already in full swing at the United Fairway Club, overlooking the 17th hole..
51;1;@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood
6081;1;@SouthwestAir can i get tiks for #DestinationDragons omg id love to! Plz 😱❤️im dying
1005;0;@united hi guys, do you have a general enquires email address please? Thanks David.
10376;-1;@USAirways how do I change flights . 3 hours is crazy please help
8515;1;@JetBlue I'll pass along the advice. You guys rock!!
10627;-1;@USAirways quick, let's board a plane so that we can sit on runway for 2 hours #clockwork #scareways #neverfails @AUmilo1
3606;1;@United is the best way to re-unite me with my one true love, shopping in USA's fashion capital #NewYork #unitedVUSA http://t.co/rBn7StUij1
12228;0;@AmericanAir um. down south has snow too #ATL
4613;-1;@SouthwestAir ruined my Sunday. 3+ hours of delays out of DIA, now my bags are at the wrong airport. $35 to deliver them? Insult to injury.
4709;1;@SouthwestAir they arrived Late Flight but pilots got us to DIA on time. #impressive #outstanding #greatservice #allgood
5296;0;@SouthwestAir follow for a DM please. Need to confirm a Cancelled Flighted reservation
12158;1;@AmericanAir These are some awesome photos. Thanks for sharing! 😁
7348;-1;@JetBlue what happens when I have a confirmed flight but no seat available during online checkin except for Even More Space upgrades?
6157;-1;@SouthwestAir We need help changing a name on a company reservation....We tried calling customer relations but there is a busy signal.
8124;-1;@JetBlue Denver-Boston 2/10 flight 994  and Boston-Denver 2/15 flight 493 (both planes!) visible snack crumbs on seats on all upon boarding
10728;-1;@USAirways  2 hours on hold and issue still not resolved. hope to make my flight in 12 hours. for every minute of talk = 20 minutes of hold
1176;0;@united #UnitedAirlines Any other way ORD to ABQ anytime within the next 7 hours?
12878;-1;@AmericanAir @USAirways I've tried to be understanding and let you handle the situation but I guess I was wrong about that
5890;0;@SouthwestAir thank you. Please follow and I will send.
10534;-1;@USAirways had baggage lost last night, no call from us airways and no bags and nobody answering phone #badcustomersrvice #whereismybag
9627;0;@USAirways 4469, thank you for asking.
9732;-1;@USAirways CLT, please send more than one cust svc rep to your cust svc counter to assist a line out the door. http://t.co/v24QNp3DOi
13230;-1;@AmericanAir poor customer service is just unacceptable.. Also how bout the surfer on the front of your website. #noloveforsurfers #pretend
9770;0;@USAirways @GregWallace66 Yea, they will give you 5 cents on the dollar!
12975;0;@AmericanAir Hi, did the discount award policy for credit card holders change? No longer seeing the chart of specials on the site. Thanks!
5823;0;@SouthwestAir good to know. Perhaps it was execution then.
8695;1;@JetBlue this is lovely!
4578;1;@SouthwestAir eyes next steps for improving #inflight #Wifi - Runway Girl http://t.co/h46HT1Oz40
6720;0;@SouthwestAir Can you link the article where it says the routes and what times the routes are likely to be? Like TUL-DAL 1:00PM - 7 None
8767;1;@JetBlue I will try that. Thanks! If all else fails I will just do the old fashioned method tomorrow morning.
12501;1;@AmericanAir Such a suprise! New vanity kit set for frequent travellers 😀 thank you AA! http://t.co/fA7Nygn1Ux
5625;0;@SouthwestAir  I am following you now.
6576;0;@SouthwestAir Is there any way to add a Known Traveler Number to an existing reservation online?  If not, why not?
8889;0;@JetBlue i'm getting info from the website, but needing to check it and the alerts would be much more beneficial.
360;0;@VirginAmerica i would like help with some flights please.
14158;-1;@AmericanAir this is unbelievable and unacceptable. Flight #293. JFK. Everyone at the gate is upset as most of us have been here all day.
